source_dataset,filename,ae_score,in_grey,body_bytes
v3,in/flowable_process_start_dataset_v3/seed_ok_52.json,5.289387,no,194
v3,in/flowable_process_start_dataset_v3/seed_ok_53.json,5.203885,no,195
v3,in/flowable_process_start_dataset_v3/seed_ok_54.json,5.203885,no,195
v3,in/flowable_process_start_dataset_v3/seed_ok_55.json,5.949741,yes,197
v3,in/flowable_process_start_dataset_v3/seed_ok_56.json,5.949741,yes,197
v3,in/flowable_process_start_dataset_v3/seed_ok_57.json,6.426580,no,200
v3,in/flowable_process_start_dataset_v3/seed_ok_58.json,6.426580,no,200
v3,in/flowable_process_start_dataset_v3/seed_ok_59.json,6.216743,yes,199
v3,in/flowable_process_start_dataset_v3/seed_ok_6.json,4.558135,no,189
v3,in/flowable_process_start_dataset_v3/seed_ok_60.json,4.580432,no,194
v3,in/flowable_process_start_dataset_v3/seed_ok_61.json,4.580432,no,194
v3,in/flowable_process_start_dataset_v3/seed_ok_62.json,4.580432,no,194
v3,in/flowable_process_start_dataset_v3/seed_ok_63.json,4.580432,no,194
v3,in/flowable_process_start_dataset_v3/seed_ok_64.json,4.580432,no,194
v3,in/flowable_process_start_dataset_v3/seed_ok_65.json,4.580432,no,194
v3,in/flowable_process_start_dataset_v3/seed_ok_66.json,4.580432,no,194
v3,in/flowable_process_start_dataset_v3/seed_ok_67.json,4.580432,no,194
v3,in/flowable_process_start_dataset_v3/seed_ok_68.json,4.761163,no,195
v3,in/flowable_process_start_dataset_v3/seed_ok_69.json,4.761163,no,195
v3,in/flowable_process_start_dataset_v3/seed_ok_7.json,4.558135,no,189
v3,in/flowable_process_start_dataset_v3/seed_ok_70.json,5.221381,no,196
v3,in/flowable_process_start_dataset_v3/seed_ok_71.json,5.221381,no,196
v3,in/flowable_process_start_dataset_v3/seed_ok_72.json,5.221381,no,196
v3,in/flowable_process_start_dataset_v3/seed_ok_73.json,5.221381,no,196
v3,in/flowable_process_start_dataset_v3/seed_ok_74.json,5.031624,no,195
v3,in/flowable_process_start_dataset_v3/seed_ok_75.json,5.031624,no,195
v3,in/flowable_process_start_dataset_v3/seed_ok_76.json,5.202025,no,199
v3,in/flowable_process_start_dataset_v3/seed_ok_77.json,5.292202,no,199
v3,in/flowable_process_start_dataset_v3/seed_ok_78.json,5.240862,no,198
v3,in/flowable_process_start_dataset_v3/seed_ok_79.json,5.153004,no,198
v3,in/flowable_process_start_dataset_v3/seed_ok_8.json,4.414000,no,189
v3,in/flowable_process_start_dataset_v3/seed_ok_9.json,4.775699,no,189
