body_bytes,json_depth,total_keys,total_nodes,dict_count,list_count,string_count,number_count,bool_count,null_count,max_string_len,avg_string_len,max_list_len,avg_list_len,max_run_length_any_string,avg_run_length_strings,max_special_ratio,avg_special_ratio,max_space_ratio,avg_space_ratio,max_case_flip_ratio,avg_case_flip_ratio,min_unique_char_ratio,avg_unique_char_ratio,max_list_repeat_ratio,avg_list_repeat_ratio,repeated_list_count,large_list_count,long_item_list_count,has_key_field,key_len,key_run_length,key_special_ratio,key_unique_char_ratio,docStatusList_len,docStatusList_repeat_ratio,categoryIdList_len,categoryIdList_repeat_ratio,endpoint,source_file,tag
138.0,4.0,6.0,9.0,3.0,1.0,4.0,1.0,0.0,0.0,14.0,10.5,2.0,2.0,2.0,1.25,0.0,0.0,0.125,0.03125,0.5,0.2543706293706294,0.75,0.8883928571428572,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,process_start,seed_ok_0.json,normal
135.0,4.0,6.0,9.0,3.0,1.0,4.0,1.0,0.0,0.0,14.0,9.75,2.0,2.0,2.0,1.25,0.0,0.0,0.0,0.0,0.36363636363636365,0.19187062937062938,0.75,0.9196428571428572,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,process_start,seed_ok_1.json,normal
134.0,4.0,6.0,9.0,3.0,1.0,4.0,1.0,0.0,0.0,14.0,9.5,2.0,2.0,2.0,1.25,0.0,0.0,0.0,0.0,0.36363636363636365,0.2127039627039627,0.75,0.9196428571428572,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,process_start,seed_ok_10.json,normal
137.0,4.0,6.0,9.0,3.0,1.0,4.0,1.0,0.0,0.0,14.0,10.25,2.0,2.0,2.0,1.5,0.0,0.0,0.0,0.0,0.36363636363636365,0.17103729603729603,0.75,0.8839285714285714,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,process_start,seed_ok_11.json,normal
134.0,4.0,6.0,9.0,3.0,1.0,4.0,1.0,0.0,0.0,14.0,9.5,2.0,2.0,2.0,1.25,0.0,0.0,0.0,0.0,0.36363636363636365,0.2127039627039627,0.75,0.9196428571428572,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,process_start,seed_ok_12.json,normal
136.0,4.0,6.0,9.0,3.0,1.0,4.0,1.0,0.0,0.0,14.0,10.0,2.0,2.0,2.0,1.25,0.0,0.0,0.0,0.0,0.36363636363636365,0.17937062937062936,0.75,0.8779761904761905,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,process_start,seed_ok_13.json,normal
135.0,4.0,6.0,9.0,3.0,1.0,4.0,1.0,0.0,0.0,14.0,9.75,2.0,2.0,2.0,1.5,0.0,0.0,0.0,0.0,0.36363636363636365,0.19187062937062938,0.75,0.8696428571428572,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,process_start,seed_ok_14.json,normal
136.0,4.0,6.0,9.0,3.0,1.0,4.0,1.0,0.0,0.0,14.0,10.0,2.0,2.0,2.0,1.25,0.0,0.0,0.0,0.0,0.36363636363636365,0.17937062937062936,0.75,0.9196428571428572,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,process_start,seed_ok_15.json,normal
135.0,4.0,6.0,9.0,3.0,1.0,4.0,1.0,0.0,0.0,14.0,9.75,2.0,2.0,2.0,1.25,0.0,0.0,0.0,0.0,0.36363636363636365,0.19187062937062938,0.75,0.9196428571428572,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,process_start,seed_ok_16.json,normal
135.0,4.0,6.0,9.0,3.0,1.0,4.0,1.0,0.0,0.0,14.0,9.75,2.0,2.0,2.0,1.25,0.0,0.0,0.0,0.0,0.36363636363636365,0.19187062937062938,0.75,0.9196428571428572,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,process_start,seed_ok_17.json,normal
