config,train_normal_mean,val_normal_mean,val_border_mean,val_abnormal_mean,short_pass,short_reject,short_rpc_fail,long_pass,long_reject,long_rpc_fail
ae_default_baseline_156,0.034274,0.062106,5.263978,456.089910,79.00,42.33,0.00,93.00,61.33,0.00
gan_v2_t15_baseline_156,0.423767,0.344221,1.619760,5.590230,45.67,72.33,0.00,61.33,101.33,0.00
